Genus	Phylum	Status	Source
Acephala	Ascomycota	Possible	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (ECM/Not ECM)"
Afroboletus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Albatrellus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Alnicola	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Alpova	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Amanita	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Amarrendia	Basidiomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (sensu stricto); http://mycorrhizas.info/ecmf.html"
Amaurodon	Basidiomycota	Conflicting Reports	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Amphinema	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Amylascus	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Anamika	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
